date,year,profession,category,region,latitude,longitude,salary,demand,automation_level,verdict,trend
2026-04-07,2026,Токарь,физическая,Республика Татарстан,55.8,49.1,195303,1000,0.176,останется,growing
2026-04-07,2026,Токарь,физическая,Томская область,56.5,84.9,197146,1000,0.134,останется,growing
2026-04-07,2026,Токарь,физическая,Иркутская область,52.3,104.3,198988,1000,0.127,останется,growing
2026-04-07,2026,Токарь,физическая,Свердловская область,56.8,60.6,202673,1000,0.169,останется,growing
2026-04-07,2026,Токарь,физическая,Красноярский край,56.0,92.9,206358,1000,0.155,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Коми,61.7,50.8,211886,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Архангельская область,64.5,40.5,224783,1000,0.12,останется,growing
2026-04-07,2026,Токарь,физическая,Тюменская область,57.1,65.5,230311,1000,0.134,останется,growing
2026-04-07,2026,Токарь,физическая,Московская область,55.5,37.5,235838,1000,0.183,останется,growing
2026-04-07,2026,Токарь,физическая,Санкт-Петербург,59.9,30.3,239523,1500,0.19,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Саха (Якутия),62.0,129.0,248736,1000,0.099,останется,growing
2026-04-07,2026,Сварщик,физическая,Тамбовская область,52.7,41.5,118197,1000,0.113,останется,growing
2026-04-07,2026,Сварщик,физическая,Пензенская область,53.2,45.0,119794,1000,0.113,останется,growing
2026-04-07,2026,Сварщик,физическая,Ульяновская область,54.3,48.4,121392,1000,0.12,останется,growing
2026-04-07,2026,Сварщик,физическая,Ленинградская область,60.0,31.0,167712,1000,0.141,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Татарстан,55.8,49.1,169309,1000,0.176,останется,growing
2026-04-07,2026,Сварщик,физическая,Томская область,56.5,84.9,170907,1000,0.134,останется,growing
2026-04-07,2026,Сварщик,физическая,Иркутская область,52.3,104.3,172504,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Свердловская область,56.8,60.6,175698,1000,0.169,останется,growing
2026-04-07,2026,Сварщик,физическая,Красноярский край,56.0,92.9,178893,1000,0.155,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Коми,61.7,50.8,183685,1000,0.113,останется,growing
2026-04-07,2026,Сварщик,физическая,Архангельская область,64.5,40.5,194865,1000,0.12,останется,growing
2026-04-07,2026,Сварщик,физическая,Тюменская область,57.1,65.5,199657,1000,0.134,останется,growing
2026-04-07,2026,Сварщик,физическая,Московская область,55.5,37.5,204449,1000,0.183,останется,growing
2026-04-07,2026,Сварщик,физическая,Санкт-Петербург,59.9,30.3,207643,1500,0.19,останется,growing
2026-04-07,2026,Сварщик,физическая,Мурманская область,68.0,33.0,210838,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Саха (Якутия),62.0,129.0,215630,1000,0.099,останется,growing
2026-04-07,2026,Сварщик,физическая,Ханты-Мансийский АО,61.0,69.0,220421,1000,0.113,останется,growing
2026-04-07,2026,Сварщик,физическая,Камчатский край,53.0,158.0,228088,1000,0.092,останется,growing
2026-04-07,2026,Сварщик,физическая,Сахалинская область,50.0,142.0,239589,1000,0.099,останется,growing
2026-04-07,2026,Сварщик,физическая,Ненецкий АО,67.6,52.9,241186,1000,0.085,останется,growing
2026-04-07,2026,Сварщик,физическая,Магаданская область,59.5,150.8,243582,1000,0.085,останется,growing
2026-04-07,2026,Сварщик,физическая,Москва,55.8,37.6,257158,1500,0.197,останется,growing
2026-04-07,2026,Сварщик,физическая,Нижегородская область,56.3,44.0,166115,1000,0.169,останется,growing
2026-04-07,2026,Сварщик,физическая,Пермский край,58.0,56.2,164517,1000,0.148,останется,growing
2026-04-07,2026,Сварщик,физическая,Хабаровский край,48.5,135.1,162920,1000,0.12,останется,growing
2026-04-07,2026,Сварщик,физическая,Приморский край,43.1,131.8,161323,1000,0.12,останется,growing
2026-04-07,2026,Сварщик,физическая,Кировская область,58.6,49.7,122989,1000,0.113,останется,growing
2026-04-07,2026,Сварщик,физическая,Чувашская Республика,56.1,47.3,124586,1000,0.12,останется,growing
2026-04-07,2026,Сварщик,физическая,Удмуртская Республика,56.9,53.2,126183,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Саратовская область,51.5,46.0,127781,1000,0.113,останется,growing
2026-04-07,2026,Сварщик,физическая,Волгоградская область,48.7,44.5,129378,1000,0.12,останется,growing
2026-04-07,2026,Сварщик,физическая,Белгородская область,50.6,36.6,130975,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Воронежская область,51.7,39.2,132572,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Липецкая область,52.6,39.6,134170,1000,0.134,останется,growing
2026-04-07,2026,Сварщик,физическая,Калужская область,54.5,36.0,135767,1000,0.183,останется,growing
2026-04-07,2026,Токарь,физическая,Челябинская область,55.2,61.4,169509,1000,0.162,останется,growing
2026-04-07,2026,Сварщик,физическая,Тульская область,54.2,37.6,137364,1000,0.169,останется,growing
2026-04-07,2026,Сварщик,физическая,Вологодская область,59.2,39.9,140559,1000,0.12,останется,growing
2026-04-07,2026,Сварщик,физическая,Краснодарский край,45.0,39.0,142156,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Ростовская область,47.2,39.7,143753,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Омская область,54.9,73.4,145350,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Челябинская область,55.2,61.4,146948,1000,0.162,останется,growing
2026-04-07,2026,Сварщик,физическая,Кемеровская область,55.4,86.1,148545,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Самарская область,53.2,50.2,150142,1000,0.162,останется,growing
2026-04-07,2026,Сварщик,физическая,Новосибирская область,55.0,82.9,151739,1000,0.148,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Карелия,61.8,34.3,159726,1000,0.113,останется,growing
2026-04-07,2026,Сварщик,физическая,Ярославская область,57.6,39.9,138961,1000,0.127,останется,growing
2026-04-07,2026,Сварщик,физическая,Ямало-Ненецкий АО,66.5,76.5,276325,1000,0.092,останется,growing
2026-04-07,2026,Токарь,физическая,Омская область,54.9,73.4,167666,1000,0.127,останется,growing
2026-04-07,2026,Токарь,физическая,Краснодарский край,45.0,39.0,163981,1000,0.127,останется,growing
2026-04-07,2026,Сантехник,физическая,Калужская область,54.5,36.0,127703,1000,0.122,останется,growing
2026-04-07,2026,Сантехник,физическая,Тульская область,54.2,37.6,129205,1000,0.113,останется,growing
2026-04-07,2026,Сантехник,физическая,Ярославская область,57.6,39.9,130708,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Вологодская область,59.2,39.9,132210,1000,0.08,останется,growing
2026-04-07,2026,Сантехник,физическая,Краснодарский край,45.0,39.0,133712,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Ростовская область,47.2,39.7,135215,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Омская область,54.9,73.4,136717,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Челябинская область,55.2,61.4,138219,1000,0.108,останется,growing
2026-04-07,2026,Сантехник,физическая,Кемеровская область,55.4,86.1,139722,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Самарская область,53.2,50.2,141224,1000,0.108,останется,growing
2026-04-07,2026,Сантехник,физическая,Новосибирская область,55.0,82.9,142727,1000,0.099,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Карелия,61.8,34.3,150239,1000,0.075,останется,growing
2026-04-07,2026,Сантехник,физическая,Приморский край,43.1,131.8,151741,1000,0.08,останется,growing
2026-04-07,2026,Сантехник,физическая,Хабаровский край,48.5,135.1,153243,1000,0.08,останется,growing
2026-04-07,2026,Сантехник,физическая,Пермский край,58.0,56.2,154746,1000,0.099,останется,growing
2026-04-07,2026,Сантехник,физическая,Нижегородская область,56.3,44.0,156248,1000,0.113,останется,growing
2026-04-07,2026,Сантехник,физическая,Ленинградская область,60.0,31.0,157750,1000,0.094,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Татарстан,55.8,49.1,159253,1000,0.117,останется,growing
2026-04-07,2026,Сантехник,физическая,Томская область,56.5,84.9,160755,1000,0.089,останется,growing
2026-04-07,2026,Сантехник,физическая,Липецкая область,52.6,39.6,126200,1000,0.089,останется,growing
2026-04-07,2026,Сантехник,физическая,Иркутская область,52.3,104.3,162258,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Воронежская область,51.7,39.2,124698,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Волгоградская область,48.7,44.5,121693,1000,0.08,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Дагестан,42.5,47.5,84134,1000,0.038,останется,growing
2026-04-07,2026,Сантехник,физическая,Карачаево-Черкесская Республика,43.8,41.8,93148,1000,0.047,останется,growing
2026-04-07,2026,Сантехник,физическая,Кабардино-Балкарская Республика,43.5,43.6,94650,1000,0.047,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Северная Осетия,43.0,44.7,96153,1000,0.047,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Мордовия,54.4,45.2,97655,1000,0.056,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Марий Эл,56.6,47.9,99157,1000,0.056,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Калмыкия,46.3,44.3,100660,1000,0.047,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Адыгея,44.6,40.1,102162,1000,0.056,останется,growing
2026-04-07,2026,Сантехник,физическая,Смоленская область,54.8,32.0,105167,1000,0.075,останется,growing
2026-04-07,2026,Сантехник,физическая,Брянская область,53.2,34.4,106669,1000,0.075,останется,growing
2026-04-07,2026,Сантехник,физическая,Курская область,51.7,36.2,108172,1000,0.08,останется,growing
2026-04-07,2026,Сантехник,физическая,Орловская область,52.9,36.1,109674,1000,0.075,останется,growing
2026-04-07,2026,Сантехник,физическая,Тамбовская область,52.7,41.5,111177,1000,0.075,останется,growing
2026-04-07,2026,Сантехник,физическая,Пензенская область,53.2,45.0,112679,1000,0.075,останется,growing
2026-04-07,2026,Сантехник,физическая,Ульяновская область,54.3,48.4,114181,1000,0.08,останется,growing
2026-04-07,2026,Сантехник,физическая,Кировская область,58.6,49.7,115684,1000,0.075,останется,growing
2026-04-07,2026,Сантехник,физическая,Чувашская Республика,56.1,47.3,117186,1000,0.08,останется,growing
2026-04-07,2026,Сантехник,физическая,Удмуртская Республика,56.9,53.2,118688,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Саратовская область,51.5,46.0,120191,1000,0.075,останется,growing
2026-04-07,2026,Сантехник,физическая,Белгородская область,50.6,36.6,123196,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Свердловская область,56.8,60.6,165262,1000,0.113,останется,growing
2026-04-07,2026,Сантехник,физическая,Красноярский край,56.0,92.9,168267,1000,0.103,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Коми,61.7,50.8,172774,1000,0.075,останется,growing
2026-04-07,2026,Токарь,физическая,Смоленская область,54.8,32.0,128974,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Брянская область,53.2,34.4,130816,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Курская область,51.7,36.2,132659,1000,0.12,останется,growing
2026-04-07,2026,Токарь,физическая,Орловская область,52.9,36.1,134501,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Тамбовская область,52.7,41.5,136344,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Пензенская область,53.2,45.0,138186,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Ульяновская область,54.3,48.4,140029,1000,0.12,останется,growing
2026-04-07,2026,Токарь,физическая,Кировская область,58.6,49.7,141871,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Чувашская Республика,56.1,47.3,143714,1000,0.12,останется,growing
2026-04-07,2026,Токарь,физическая,Удмуртская Республика,56.9,53.2,145556,1000,0.127,останется,growing
2026-04-07,2026,Токарь,физическая,Саратовская область,51.5,46.0,147399,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Волгоградская область,48.7,44.5,149241,1000,0.12,останется,growing
2026-04-07,2026,Токарь,физическая,Белгородская область,50.6,36.6,151084,1000,0.127,останется,growing
2026-04-07,2026,Токарь,физическая,Воронежская область,51.7,39.2,152926,1000,0.127,останется,growing
2026-04-07,2026,Токарь,физическая,Липецкая область,52.6,39.6,154769,1000,0.134,останется,growing
2026-04-07,2026,Токарь,физическая,Калужская область,54.5,36.0,156611,1000,0.183,останется,growing
2026-04-07,2026,Токарь,физическая,Тульская область,54.2,37.6,158454,1000,0.169,останется,growing
2026-04-07,2026,Токарь,физическая,Ярославская область,57.6,39.9,160296,1000,0.127,останется,growing
2026-04-07,2026,Токарь,физическая,Вологодская область,59.2,39.9,162139,1000,0.12,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Адыгея,44.6,40.1,125289,1000,0.085,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Калмыкия,46.3,44.3,123447,1000,0.07,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Марий Эл,56.6,47.9,121604,1000,0.085,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Мордовия,54.4,45.2,119762,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Архангельская область,64.5,40.5,183291,1000,0.08,останется,growing
2026-04-07,2026,Сантехник,физическая,Тюменская область,57.1,65.5,187798,1000,0.089,останется,growing
2026-04-07,2026,Сантехник,физическая,Московская область,55.5,37.5,192305,1000,0.122,останется,growing
2026-04-07,2026,Сантехник,физическая,Санкт-Петербург,59.9,30.3,195310,1500,0.127,останется,growing
2026-04-07,2026,Сантехник,физическая,Мурманская область,68.0,33.0,198315,1000,0.085,останется,growing
2026-04-07,2026,Сантехник,физическая,Республика Саха (Якутия),62.0,129.0,202822,1000,0.066,останется,growing
2026-04-07,2026,Сантехник,физическая,Ханты-Мансийский АО,61.0,69.0,207329,1000,0.075,останется,growing
2026-04-07,2026,Сантехник,физическая,Камчатский край,53.0,158.0,214541,1000,0.061,останется,growing
2026-04-07,2026,Сантехник,физическая,Сахалинская область,50.0,142.0,225358,1000,0.066,останется,growing
2026-04-07,2026,Токарь,физическая,Ростовская область,47.2,39.7,165824,1000,0.127,останется,growing
2026-04-07,2026,Сантехник,физическая,Ненецкий АО,67.6,52.9,226860,1000,0.056,останется,growing
2026-04-07,2026,Сантехник,физическая,Москва,55.8,37.6,241884,1500,0.132,останется,growing
2026-04-07,2026,Сантехник,физическая,Ямало-Ненецкий АО,66.5,76.5,259913,1000,0.061,останется,growing
2026-04-07,2026,Сантехник,физическая,Чукотский АО,65.0,175.0,289960,1000,0.056,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Ингушетия,43.2,44.9,88439,1000,0.056,останется,growing
2026-04-07,2026,Токарь,физическая,Чеченская Республика,43.3,45.7,95809,1000,0.056,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Дагестан,42.5,47.5,103179,1000,0.056,останется,growing
2026-04-07,2026,Токарь,физическая,Карачаево-Черкесская Республика,43.8,41.8,114234,1000,0.07,останется,growing
2026-04-07,2026,Токарь,физическая,Кабардино-Балкарская Республика,43.5,43.6,116077,1000,0.07,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Северная Осетия,43.0,44.7,117919,1000,0.07,останется,growing
2026-04-07,2026,Сантехник,физическая,Магаданская область,59.5,150.8,229114,1000,0.056,останется,growing
2026-04-07,2026,Сантехник,физическая,Чеченская Республика,43.3,45.7,78124,1000,0.038,останется,growing
2026-04-07,2026,Сварщик,физическая,Чукотский АО,65.0,175.0,308271,1000,0.085,останется,growing
2026-04-07,2026,Product-менеджер,управленческая,Чеченская Республика,43.3,45.7,105538,1000,0.094,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Сахалинская область,50.0,142.0,252392,1000,0.132,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Ненецкий АО,67.6,52.9,254075,1000,0.113,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Магаданская область,59.5,150.8,256599,1000,0.113,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Москва,55.8,37.6,270901,1500,0.263,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Ямало-Ненецкий АО,66.5,76.5,291092,1000,0.122,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Чукотский АО,65.0,175.0,324745,1000,0.113,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Ингушетия,43.2,44.9,120706,1000,0.113,останется,growing
2026-04-07,2026,DevOps-инженер,it,Чеченская Республика,43.3,45.7,130764,1000,0.113,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Дагестан,42.5,47.5,140823,1000,0.113,останется,growing
2026-04-07,2026,DevOps-инженер,it,Карачаево-Черкесская Республика,43.8,41.8,155911,1000,0.141,останется,growing
2026-04-07,2026,DevOps-инженер,it,Кабардино-Балкарская Республика,43.5,43.6,158426,1000,0.141,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Северная Осетия,43.0,44.7,160941,1000,0.141,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Мордовия,54.4,45.2,163456,1000,0.169,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Марий Эл,56.6,47.9,165970,1000,0.169,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Калмыкия,46.3,44.3,168485,1000,0.141,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Адыгея,44.6,40.1,171000,1000,0.169,останется,growing
2026-04-07,2026,DevOps-инженер,it,Смоленская область,54.8,32.0,176029,1000,0.226,останется,growing
2026-04-07,2026,DevOps-инженер,it,Брянская область,53.2,34.4,178544,1000,0.226,останется,growing
2026-04-07,2026,DevOps-инженер,it,Курская область,51.7,36.2,181058,1000,0.24,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Камчатский край,53.0,158.0,240277,1000,0.122,останется,growing
2026-04-07,2026,DevOps-инженер,it,Орловская область,52.9,36.1,183573,1000,0.226,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Ханты-Мансийский АО,61.0,69.0,232201,1000,0.15,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Мурманская область,68.0,33.0,222105,1000,0.169,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Кемеровская область,55.4,86.1,156483,1000,0.169,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Самарская область,53.2,50.2,158166,1000,0.216,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Новосибирская область,55.0,82.9,159848,1000,0.197,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Республика Карелия,61.8,34.3,168261,1000,0.15,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Приморский край,43.1,131.8,169944,1000,0.16,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Хабаровский край,48.5,135.1,171627,1000,0.16,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Пермский край,58.0,56.2,173309,1000,0.197,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Нижегородская область,56.3,44.0,174992,1000,0.226,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Ленинградская область,60.0,31.0,176674,1000,0.188,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Республика Татарстан,55.8,49.1,178357,1000,0.235,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Томская область,56.5,84.9,180040,1000,0.179,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Иркутская область,52.3,104.3,181722,1000,0.169,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Свердловская область,56.8,60.6,185088,1000,0.226,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Красноярский край,56.0,92.9,188453,1000,0.207,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Республика Коми,61.7,50.8,193501,1000,0.15,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Архангельская область,64.5,40.5,205279,1000,0.16,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Тюменская область,57.1,65.5,210327,1000,0.179,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Московская область,55.5,37.5,215375,1000,0.244,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Санкт-Петербург,59.9,30.3,218740,1500,0.254,останется,growing
2026-04-07,2026,Специалист по кибербезопасности,it,Республика Саха (Якутия),62.0,129.0,227153,1000,0.132,останется,growing
2026-04-07,2026,DevOps-инженер,it,Тамбовская область,52.7,41.5,186088,1000,0.226,останется,growing
2026-04-07,2026,DevOps-инженер,it,Пензенская область,53.2,45.0,188602,1000,0.226,останется,growing
2026-04-07,2026,DevOps-инженер,it,Ульяновская область,54.3,48.4,191117,1000,0.24,останется,growing
2026-04-07,2026,DevOps-инженер,it,Ленинградская область,60.0,31.0,264044,1000,0.282,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Татарстан,55.8,49.1,266558,1000,0.352,останется,growing
2026-04-07,2026,DevOps-инженер,it,Томская область,56.5,84.9,269073,1000,0.268,останется,growing
2026-04-07,2026,DevOps-инженер,it,Иркутская область,52.3,104.3,271588,1000,0.254,останется,growing
2026-04-07,2026,DevOps-инженер,it,Свердловская область,56.8,60.6,276617,1000,0.338,останется,growing
2026-04-07,2026,DevOps-инженер,it,Красноярский край,56.0,92.9,281646,1000,0.31,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Коми,61.7,50.8,289190,1000,0.226,останется,growing
2026-04-07,2026,DevOps-инженер,it,Архангельская область,64.5,40.5,306793,1000,0.24,останется,growing
2026-04-07,2026,DevOps-инженер,it,Тюменская область,57.1,65.5,314338,1000,0.268,останется,growing
2026-04-07,2026,DevOps-инженер,it,Московская область,55.5,37.5,321882,1000,0.367,останется,growing
2026-04-07,2026,DevOps-инженер,it,Санкт-Петербург,59.9,30.3,326911,1500,0.381,останется,growing
2026-04-07,2026,DevOps-инженер,it,Мурманская область,68.0,33.0,331940,1000,0.254,останется,growing
2026-04-07,2026,DevOps-инженер,it,Республика Саха (Якутия),62.0,129.0,339484,1000,0.197,останется,growing
2026-04-07,2026,DevOps-инженер,it,Ханты-Мансийский АО,61.0,69.0,347029,1000,0.226,останется,growing
2026-04-07,2026,DevOps-инженер,it,Камчатский край,53.0,158.0,359099,1000,0.183,останется,growing
2026-04-07,2026,DevOps-инженер,it,Сахалинская область,50.0,142.0,377205,1000,0.197,останется,growing
2026-04-07,2026,DevOps-инженер,it,Ненецкий АО,67.6,52.9,379720,1000,0.169,останется,growing
2026-04-07,2026,DevOps-инженер,it,Магаданская область,59.5,150.8,383492,1000,0.169,останется,growing
2026-04-07,2026,DevOps-инженер,it,Москва,55.8,37.6,404867,1500,0.395,останется,growing
2026-04-07,2026,DevOps-инженер,it,Нижегородская область,56.3,44.0,261529,1000,0.338,останется,growing
2026-04-07,2026,DevOps-инженер,it,Пермский край,58.0,56.2,259014,1000,0.296,останется,growing
2026-04-07,2026,DevOps-инженер,it,Хабаровский край,48.5,135.1,256499,1000,0.24,останется,growing
2026-04-07,2026,DevOps-инженер,it,Приморский край,43.1,131.8,253985,1000,0.24,останется,growing
2026-04-07,2026,DevOps-инженер,it,Кировская область,58.6,49.7,193632,1000,0.226,останется,growing
2026-04-07,2026,DevOps-инженер,it,Чувашская Республика,56.1,47.3,196147,1000,0.24,останется,growing
2026-04-07,2026,DevOps-инженер,it,Удмуртская Республика,56.9,53.2,198661,1000,0.254,останется,growing
2026-04-07,2026,DevOps-инженер,it,Саратовская область,51.5,46.0,201176,1000,0.226,останется,growing
2026-04-07,2026,DevOps-инженер,it,Волгоградская область,48.7,44.5,203691,1000,0.24,останется,growing
2026-04-07,2026,DevOps-инженер,it,Белгородская область,50.6,36.6,206205,1000,0.254,останется,growing
2026-04-07,2026,DevOps-инженер,it,Воронежская область,51.7,39.2,208720,1000,0.254,останется,growing
2026-04-07,2026,DevOps-инженер,it,Липецкая область,52.6,39.6,211235,1000,0.268,останется,growing
2026-04-07,2026,DevOps-инженер,it,Калужская область,54.5,36.0,213749,1000,0.367,останется,growing
